artist_name,expert_selection_system_ranking,peer_selection_system_ranking,market_selection_system_ranking,date_of_birth,date_of_death,age,active_years,gender,dominant_style,number_of_paintings,number_of_styles,career_stage,style_stage,visual_originality_max,visual_originality_mean,visual_originality_95th_percentile,visual_originality_dominant_style_max,visual_originality_dominant_style_mean,visual_originality_dominant_style_95th_percentile
heorhiy-narbut,0.009043927648578752,0.2890625,0.3047158403869408,1886,1920,0.1294117647058824,0.2073170731707317,0,art_nouveau_modern,0.05319148936170213,0.0,0.5185185185185185,0.7048267326732673,0.3674745754691198,0.3801359472907782,0.3799885567849584,0.2733910085753625,0.2733910085753625,0.2733910085753625
jacek-malczewski,0.3669250645994832,0.0703125,0.7605804111245467,1854,1929,0.611764705882353,0.4268292682926829,0,art_nouveau_modern,0.05638297872340425,0.5714285714285714,0.7179487179487181,0.5977722772277227,0.4239421073077894,0.4385490733669485,0.4383790342790616,0.4306206676018683,0.3859182462153134,0.42615042546321297
albert-bierstadt,0.8979328165374677,0.125,0.879081015719468,1830,1902,0.5764705882352941,0.5487804878048781,0,romanticism,0.01648936170212766,0.1428571428571428,0.043478260869565216,0.5564766839378238,0.3193569793790116,0.3303604548020321,0.3302323637996337,0.2804814815311048,0.2804814815311048,0.2804814815311048
homer-watson,0.033591731266150004,0.0234375,0.2176541717049577,1855,1936,0.6823529411764706,0.6463414634146342,0,realism,0.00851063829787234,0.2857142857142857,0.625,0.7354970886348933,0.133320359543934,0.1379139253475763,0.1378604518380031,0.14712572836542,0.14712572836542,0.14712572836542
lawren-harris,0.7739018087855297,0.0546875,0.8887545344619106,1885,1970,0.7294117647058823,0.2073170731707317,0,art_nouveau_modern,0.003191489361702127,0.1428571428571428,0.6,0.958230198019802,0.2974350048000576,0.307683156481688,0.30756385817173,0.2570721396067776,0.2570721396067776,0.2570721396067776
leon-bakst,0.6614987080103358,0.1796875,0.5973397823458283,1866,1924,0.4117647058823529,0.3292682926829268,0,art_nouveau_modern,0.04946808510638298,0.0,0.02777777777777778,0.3672648514851485,0.3014984543337899,0.3118866125597083,0.3117656844393576,0.3036441159775247,0.3036441159775247,0.3036441159775247
mstislav-dobuzhinsky,0.3927648578811369,0.1328125,0.5247883917775091,1875,1957,0.6941176470588235,0.3780487804878049,0,art_nouveau_modern,0.023404255319148942,0.2857142857142857,0.7608695652173914,0.9207920792079208,0.4200508875796081,0.293762457486825,0.4235820111840197,0.2889108025630066,0.2889108025630066,0.2889108025630066
paul-feeley,0.6563307493540051,0.1953125,0.1523579201934704,1910,1966,0.3882352941176471,0.4268292682926829,0,color_field_painting,0.01914893617021277,0.2857142857142857,0.2619047619047619,0.1237553342816501,0.2685185558815102,0.2777703885360288,0.2776626883346669,0.2032290811128991,0.2032290811128991,0.2032290811128991
george-morland,0.41860465116279066,0.359375,0.38694074969770254,1763,1804,0.2117647058823529,0.2926829268292683,0,rococo,0.04042553191489362,0.0,0.7659574468085106,0.9154557463672393,0.2200108290178058,0.2275913232803805,0.2275030790601283,0.2382194722943126,0.2382194722943126,0.2382194722943126
john-russell,0.9198966408268734,0.125,0.2128174123337364,1745,1806,0.4470588235294118,0.451219512195122,0,rococo,0.01382978723404255,0.0,0.5833333333333334,0.7919418758256275,0.2030314279960192,0.2026446633810367,0.2092075244515885,0.1810739992916763,0.1775987019720967,0.1807264695597182
